Species;Species_Phylo;Family;Trait;Categorie;Tetra_type;Synthetic_natural;Value_diplo;Value_tetra;Ratio;Study_ID;Reference
Malus domestica;Malus_domestica;Rosaceae;Leaf_width;Vegetative;Neo;Synthetic;5,11;6,17;1,207436399;45;Xue_et_al_2015_Scientia_horticulturae
Malus domestica;Malus_domestica;Rosaceae;Leaf_area;Vegetative;Neo;Synthetic;32,76;35,89;1,095543346;45;Xue_et_al_2015_Scientia_horticulturae
Malus domestica;Malus_domestica;Rosaceae;Leaf_area;Vegetative;Neo;Synthetic;29,18;33,83;1,159355723;45;Xue_et_al_2015_Scientia_horticulturae
Malus domestica;Malus_domestica;Rosaceae;Leaf_thickness;Vegetative;Neo;Synthetic;177,68;204,58;1,151395768;45;Xue_et_al_2015_Scientia_horticulturae
Malus domestica;Malus_domestica;Rosaceae;Leaf_thickness;Vegetative;Neo;Synthetic;116,67;146,32;1,254135596;45;Xue_et_al_2015_Scientia_horticulturae
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Dry_weight;Vegetative;Neo;Synthetic;2,5;2,5;1;46;Tal_Gardi_1976_Physiol_Plant
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Stomata_density;Cellular - number;Neo;Synthetic;12,9;8,8;0,682170543;46;Tal_Gardi_1976_Physiol_Plant
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Epidermis_cell_number;Cellular - number;Neo;Synthetic;38,5;24,4;0,633766234;46;Tal_Gardi_1976_Physiol_Plant
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Stomata_diameter;Cellular - size;Neo;Synthetic;50,6;66,9;1,322134387;46;Tal_Gardi_1976_Physiol_Plant
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Stomata_area;Cellular - size;Neo;Synthetic;61,2;77,1;1,259803922;46;Tal_Gardi_1976_Physiol_Plant
Lycopersicon esculentum;Solanum_lycopersicum;Solanaceae;Guard_cell_area;Cellular - size;Neo;Synthetic;370;652;1,762162162;46;Tal_Gardi_1976_Physiol_Plant
Poncirus trifoliata;Citrus_trifoliata;Rutaceae;Stomata_size;Cellular - size;Neo;Natural;384;583;1,518229167;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Citrus deliciosa;Citrus_trifoliata;Rutaceae;Stomata_size;Cellular - size;Neo;Natural;295;540;1,830508475;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Poncirus trifoliata;Citrus_trifoliata;Rutaceae;Stomata_density;Cellular - number;Neo;Natural;487;307;0,630390144;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Citrus deliciosa;Citrus_trifoliata;Rutaceae;Stomata_density;Cellular - number;Neo;Natural;395;290;0,734177215;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Poncirus trifoliata;Citrus_trifoliata;Rutaceae;Leaf_thickness;Vegetative;Neo;Natural;0,284;0,34;1,197183099;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Citrus deliciosa;Citrus_trifoliata;Rutaceae;Leaf_thickness;Vegetative;Neo;Natural;0,247;0,297;1,20242915;47;Mouhaya_et_al_2010_Functional_Plant_Biology
Morus alba;Morus_alba;Moraceae;Height;Vegetative;Neo;Synthetic;6,58;7,81;1,186930091;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Breast-height diameter;Vegetative;Neo;Synthetic;8,34;10,31;1,236211031;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Leaf_area;Vegetative;Neo;Synthetic;70,89;99,28;1,400479616;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Fruit_maturation_period;Phenological;Neo;Synthetic;54,21;53,47;0,986349382;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Fruit_length;Vegetative;Neo;Synthetic;4,06;5,7;1,403940887;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Fruit_diameter;Vegetative;Neo;Synthetic;1,43;2,22;1,552447552;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Morus alba;Morus_alba;Moraceae;Fruit_weight;Vegetative;Neo;Synthetic;5,05;8,57;1,697029703;48;Dai_et_al_2015_Int_Journal_Molecular_Science
Themeda triandra;Schizachyrium_scoparium;Poaceae;Number_seed;Fitness;Est;Natural;1;1,16;1,16;49;Godfree_et_al_2017_Royal_society_open_science
Themeda triandra;Schizachyrium_scoparium;Poaceae;Seed_weight;Vegetative;Est;Natural;1;1,27;1,27;49;Godfree_et_al_2017_Royal_society_open_science
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Total_biomass;Vegetative;Neo;Synthetic;74;55;0,743243243;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Total_biomass;Vegetative;Est;Natural;74;60;0,810810811;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Shoot_mass;Vegetative;Neo;Synthetic;32;42,5;1,328125;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Shoot_mass;Vegetative;Est;Natural;32;37,5;1,171875;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_mass;Vegetative;Neo;Synthetic;6;7;1,166666667;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_mass;Vegetative;Est;Natural;6;6,5;1,083333333;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Inflorescence_mass;Floral;Neo;Synthetic;25;13,5;0,54;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Inflorescence_mass;Floral;Est;Natural;25;19;0,76;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_bud_mass;Vegetative;Neo;Synthetic;40;42;1,05;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_bud_mass;Vegetative;Est;Natural;40;20;0,5;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_bud_number;Vegetative;Neo;Synthetic;27;53;1,962962963;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Root_bud_number;Vegetative;Est;Natural;27;24;0,888888889;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Individual_bud_mass;Vegetative;Neo;Synthetic;1,05;0,65;0,619047619;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Individual_bud_mass;Vegetative;Est;Natural;1,05;0,6;0,571428571;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Bud_height;Vegetative;Neo;Synthetic;4;4,25;1,0625;50;VanDrunen_Husband_2018_Annals_botant
Chamerion angustifolium;Chamerion_angustifolium;Onagraceae;Bud_height;Vegetative;Est;Natural;4;3,625;0,90625;50;VanDrunen_Husband_2018_Annals_botant
Malus domestica;Malus_domestica;Rosaceae;Height;Vegetative;Neo;Synthetic;208,2;155,2;0,74543708;51;Ma_et_al_2016_Scientific_reports
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Pedoncule_length;Floral;Est;Natural;4,2;4,7;1,119047619;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Total_floral_length;Floral;Est;Natural;5,1;6,5;1,274509804;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Nectary_basal_length;Floral;Est;Natural;1,9;2,2;1,157894737;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Corolla_length;Floral;Est;Natural;3;3,5;1,166666667;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Petal_length;Floral;Est;Natural;2,3;3,3;1,434782609;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Style_length;Floral;Est;Natural;1,9;2,1;1,105263158;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Hypanthium_length;Floral;Est;Natural;1,9;2;1,052631579;52;Segraves_Thompson_1999_Evolution
Heuchera grossulariifolia;Heuchera_merriamii;Saxifragaceae;Stigma_sepal_length;Floral;Est;Natural;1;1,05;1,05;52;Segraves_Thompson_1999_Evolution
Solidago gigantea;Solidago_canadensis;Asteraceae;Biomass;Vegetative;Est;Natural;87,5;60,7;0,693714286;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Biomass;Vegetative;Est;Natural;26,8;41,9;1,563432836;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Biomass;Vegetative;Est;Natural;58,2;66,9;1,149484536;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Biomass;Vegetative;Est;Natural;46,6;52,2;1,120171674;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_Diameter;Vegetative;Est;Natural;11,2;8,8;0,785714286;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_Diameter;Vegetative;Est;Natural;6,8;7,5;1,102941176;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_lenght;Vegetative;Est;Natural;161;134;0,832298137;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_lenght;Vegetative;Est;Natural;57;89;1,561403509;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_lenght;Vegetative;Est;Natural;98;83;0,846938776;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_lenght;Vegetative;Est;Natural;74;70;0,945945946;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Leaf_area;Vegetative;Est;Natural;31,2;29,1;0,932692308;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Leaf_area;Vegetative;Est;Natural;19,3;24,2;1,25388601;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Leaf_mass;Vegetative;Est;Natural;234;245;1,047008547;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Leaf_mass;Vegetative;Est;Natural;123;191;1,552845528;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_number;Vegetative;Est;Natural;8;11;1,375;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Shoot_number;Vegetative;Est;Natural;12;10;0,833333333;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Rhizome_number;Vegetative;Est;Natural;10;16;1,6;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Rhizome_number;Vegetative;Est;Natural;12;19;1,583333333;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Rhizome_mass;Vegetative;Est;Natural;5;4,6;0,92;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_plants;Fitness;Est;Natural;0,97;0,82;0,845360825;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_plants;Fitness;Est;Natural;0,39;0,88;2,256410256;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_shoots;Fitness;Est;Natural;2,6;2,7;1,038461538;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_shoots;Fitness;Est;Natural;1,3;1,6;1,230769231;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Capitule_biomass;Floral;Est;Natural;11,2;5,1;0,455357143;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Capitule_biomass;Floral;Est;Natural;4,7;10,3;2,191489362;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_duration;Phenological;Est;Natural;50;51;1,02;53;Schlaepfer_et_al_2010_Oecologia
Solidago gigantea;Solidago_canadensis;Asteraceae;Flowering_duration;Phenological;Est;Natural;29;48;1,655172414;53;Schlaepfer_et_al_2010_Oecologia
Trifolium pratense;Trifolium_pratense;Fabaceae;Plant_length;Vegetative;Neo;Synthetic;1,3;1,35;1,038461538;54;Porturas_Segraves_2020_Am.J.Bot
Trifolium pratense;Trifolium_pratense;Fabaceae;Banner_petal_length;Floral;Neo;Synthetic;0,51;0,6;1,176470588;54;Porturas_Segraves_2020_Am.J.Bot
Trifolium pratense;Trifolium_pratense;Fabaceae;Banner_petal_width;Floral;Neo;Synthetic;0,25;0,3;1,2;54;Porturas_Segraves_2020_Am.J.Bot
Trifolium pratense;Trifolium_pratense;Fabaceae;Floral_tube_width;Floral;Neo;Synthetic;0,1;0,11;1,1;54;Porturas_Segraves_2020_Am.J.Bot
Trifolium pratense;Trifolium_pratense;Fabaceae;Wing_petal_length;Floral;Neo;Synthetic;0,4;0,43;1,075;54;Porturas_Segraves_2020_Am.J.Bot
Trifolium pratense;Trifolium_pratense;Fabaceae;Herkogamy;Floral;Neo;Synthetic;0,045;0,05;1,111111111;54;Porturas_Segraves_2020_Am.J.Bot
Arrhenatherum elatius;Arrhenatherum_elatius;Poaceae;Floral_biomass;Floral;Est;Natural;300;1000;3,333333333;55;Petit_et_al_1996_Can.J.Bot
Arrhenatherum elatius;Arrhenatherum_elatius;Poaceae;Vegetative_biomass;Vegetative;Est;Natural;2500;8775;3,51;55;Petit_et_al_1996_Can.J.Bot
Arrhenatherum elatius;Arrhenatherum_elatius;Poaceae;Leaf_surface_area;Vegetative;Est;Natural;150;490;3,266666667;55;Petit_et_al_1996_Can.J.Bot
Arrhenatherum elatius;Arrhenatherum_elatius;Poaceae;Flowering date;Phenological;Est;Natural;89;82,5;0,926966292;55;Petit_et_al_1996_Can.J.Bot
Arrhenatherum elatius;Arrhenatherum_elatius;Poaceae;Reproductive_output;Fitness;Est;Natural;0,1;0,1085;1,085;55;Petit_et_al_1996_Can.J.Bot
Medicago sativa;Medicago_sativa;Fabaceae;shoot_biomass;Vegetative;Est;Natural;3;5,72;1,906666667;56;Forrester_et_al_2020_New_phytologist
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicle_number;Fitness;Neo;Synthetic;22,7;11;0,484581498;57;Bretagnolle_lumaret_1995_Euphytica
Dactylis glomerata;Dactylis_glomerata;Poaceae;Seed_weight;Vegetative;Neo;Synthetic;25,8;23,3;0,903100775;57;Bretagnolle_lumaret_1995_Euphytica
Dactylis glomerata;Dactylis_glomerata;Poaceae;Seed_number;Fitness;Neo;Synthetic;4577;2276;0,497268953;57;Bretagnolle_lumaret_1995_Euphytica
Dactylis glomerata;Dactylis_glomerata;Poaceae;Vegetative_biomass;Vegetative;Neo;Synthetic;15,9;16,3;1,025157233;57;Bretagnolle_lumaret_1995_Euphytica
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicle_emergence;Phenological;Neo;Synthetic;72,6;73;1,005509642;57;Bretagnolle_lumaret_1995_Euphytica
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicle_number;Fitness;Est;Natural;21;22,1;1,052380952;58;Bretagnolle_lumaret_2001_Int.Journal.Plant.Science
Dactylis glomerata;Dactylis_glomerata;Poaceae;Seed_weight;Vegetative;Est;Natural;0,45;0,709;1,575555556;58;Bretagnolle_lumaret_2001_Int.Journal.Plant.Science
Dactylis glomerata;Dactylis_glomerata;Poaceae;Seed_number;Fitness;Est;Natural;3959;2184;0,551654458;58;Bretagnolle_lumaret_2001_Int.Journal.Plant.Science
Dactylis glomerata;Dactylis_glomerata;Poaceae;Vegetative_biomass;Vegetative;Est;Natural;12,7;22,4;1,763779528;58;Bretagnolle_lumaret_2001_Int.Journal.Plant.Science
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicle_emergence;Phenological;Est;Natural;88,8;74,4;0,837837838;58;Bretagnolle_lumaret_2001_Int.Journal.Plant.Science
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicacea;Flowering_time;Phenological;Neo;Natural;39;43;1,102564103;59;Anneberg_Segraves_2020_Plant_Soil
Arabidopsis thaliana;Arabidopsis_thaliana;Brassicacea;Composite_Fitness;Fitness;Neo;Natural;0,07;0,05;0,714285714;59;Anneberg_Segraves_2020_Plant_Soil
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Calyx_length;Floral;Est;Natural;14,5;15;1,034482759;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Corolla_height;Floral;Est;Natural;25;31;1,24;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Corrolla_width;Floral;Est;Natural;31;37;1,193548387;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Floral_pedicel_lenght;Floral;Est;Natural;27;36;1,333333333;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Floral_tube_length;Floral;Est;Natural;23;25;1,086956522;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Leaf_length;Vegetative;Est;Natural;82;110;1,341463415;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Leaf_width;Vegetative;Est;Natural;44;59;1,340909091;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Mimulus guttatus;Erythranthe_guttata;Scrophulariaceae;Stem_Diameter;Vegetative;Est;Natural;4,8;6,1;1,270833333;60;Simon-Porcar_et_al_2017_Botanical_Journal_of_Linnean_Society
Dactylis glomerata;Dactylis_glomerata;Poaceae;Tiller_number;Vegetative;Est;Natural;50,95;49,67;0,974877331;61;Maceira_et_al_1988
Dactylis glomerata;Dactylis_glomerata;Poaceae;Biomass;Vegetative;Est;Natural;14,69;14,78;1,006126617;61;Maceira_et_al_1988
Dactylis glomerata;Dactylis_glomerata;Poaceae;Biomass;Vegetative;Est;Natural;18,78;22,86;1,217252396;61;Maceira_et_al_1988
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicles_number;Fitness;Est;Natural;5,37;3,33;0,620111732;61;Maceira_et_al_1988
Dactylis glomerata;Dactylis_glomerata;Poaceae;Seed_number;Fitness;Est;Natural;1479;907,9;0,613860717;61;Maceira_et_al_1988
Dactylis glomerata;Dactylis_glomerata;Poaceae;Panicles_number;Fitness;Est;Natural;8,59;9,79;1,139697322;61;Maceira_et_al_1988
Knautia serpentinicola;Knautia_arvensis;Dipsacaceae;Aboveground_weight;Vegetative;Est;Natural;2,3;2,9;1,260869565;62;Certner_et_al_2019_New_Phytologist
Knautia serpentinicola;Knautia_arvensis;Dipsacaceae;Leaf_pair_number;Vegetative;Est;Natural;12,2;11,1;0,909836066;62;Certner_et_al_2019_New_Phytologist
Knautia serpentinicola;Knautia_arvensis;Dipsacaceae;Leaf_rosette_nulber;Vegetative;Est;Natural;2;1,9;0,95;62;Certner_et_al_2019_New_Phytologist
Knautia serpentinicola;Knautia_arvensis;Dipsacaceae;Below_ground_biomass;Vegetative;Est;Natural;3,9;7,9;2,025641026;62;Certner_et_al_2019_New_Phytologist
Knautia serpentinicola;Knautia_arvensis;Dipsacaceae;Total_biomass;Vegetative;Est;Natural;6,2;11;1,774193548;62;Certner_et_al_2019_New_Phytologist
Vicia cracca;Vicia_cracca;Fabaceae;Germination_date;Phenological;Est;Natural;12,5;12;0,96;63;Pavlikova_et_al_2017_Plant_syst_evol
Vicia cracca;Vicia_cracca;Fabaceae;Germination_date;Phenological;Neo;Synthetic;12,5;25;2;63;Pavlikova_et_al_2017_Plant_syst_evol
Vicia cracca;Vicia_cracca;Fabaceae;Plant_height;Vegetative;Est;Natural;22;25;1,136363636;63;Pavlikova_et_al_2017_Plant_syst_evol
Vicia cracca;Vicia_cracca;Fabaceae;Plant_height;Vegetative;Neo;Synthetic;22;24,5;1,113636364;63;Pavlikova_et_al_2017_Plant_syst_evol
Vicia cracca;Vicia_cracca;Fabaceae;Seed_weight;Vegetative;Est;Natural;0,011875;0,01475;1,242105263;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Seed_weight;Vegetative;Neo;Synthetic;0,011875;0,015125;1,273684211;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Number_of_leaves;Vegetative;Est;Natural;11,375;9,625;0,846153846;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Number_of_leaves;Vegetative;Neo;Synthetic;11,375;11,875;1,043956044;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Number_of_pods;Vegetative;Est;Natural;58,5;36;0,615384615;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Number_of_pods;Vegetative;Neo;Synthetic;58,5;39;0,666666667;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Flowering_time;Phenological;Est;Natural;213,75;218,25;1,021052632;64;Munzbergova_2017_Annals_of_Botany
Vicia cracca;Vicia_cracca;Fabaceae;Flowering_time;Phenological;Neo;Synthetic;213,75;216;1,010526316;64;Munzbergova_2017_Annals_of_Botany
